data,tipo,categoria,valor,cliente_projeto,fonte,gestao
2018-09-04,ENTRADA,rendimento automático,0.58,,18_19.xlsx,18_19
2018-09-05,ENTRADA,rendimento automático,4.84,,18_19.xlsx,18_19
2018-09-06,ENTRADA,rendimento automático,6.28,,18_19.xlsx,18_19
2018-09-11,ENTRADA,rendimento automático,18.06,,18_19.xlsx,18_19
2018-09-12,ENTRADA,rendimento automático,18.7,,18_19.xlsx,18_19
2018-09-12,ENTRADA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-14,ENTRADA,rendimento automático,17.37,,18_19.xlsx,18_19
2018-09-18,ENTRADA,projeto,150.0,Cliente 076,18_19.xlsx,18_19
2018-09-19,ENTRADA,rendimento automático,4.64,,18_19.xlsx,18_19
2018-09-20,ENTRADA,rendimento automático,14.88,,18_19.xlsx,18_19
2018-09-24,ENTRADA,projeto,450.0,Cliente 084,18_19.xlsx,18_19
2018-09-19,ENTRADA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-25,ENTRADA,projeto,930.0,Cliente 061,18_19.xlsx,18_19
2018-09-25,ENTRADA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-25,ENTRADA,rendimento automático,2.23,,18_19.xlsx,18_19
2018-09-27,ENTRADA,não categorizado,9.21,,18_19.xlsx,18_19
2018-09-27,ENTRADA,projeto,891.43,Cliente 039,18_19.xlsx,18_19
2018-09-27,ENTRADA,projeto,1164.44,Cliente 001,18_19.xlsx,18_19
2018-09-27,ENTRADA,projeto,1796.93,Cliente 001,18_19.xlsx,18_19
2018-09-27,ENTRADA,projeto,3267.0,Cliente 001,18_19.xlsx,18_19
2018-10-03,ENTRADA,rendimento automático,12.45,,18_19.xlsx,18_19
2018-10-02,ENTRADA,rendimento automático,0.46,,18_19.xlsx,18_19
2018-10-09,ENTRADA,rendimento automático,5.58,,18_19.xlsx,18_19
2018-10-11,ENTRADA,projeto,950.0,Cliente 058,18_19.xlsx,18_19
2018-10-15,ENTRADA,projeto,2821.85,Cliente 001,18_19.xlsx,18_19
2018-10-18,ENTRADA,rendimento automático,16.78,,18_19.xlsx,18_19
2018-10-19,ENTRADA,rendimento automático,27.56,,18_19.xlsx,18_19
2018-10-23,ENTRADA,projeto,900.0,Cliente 038,18_19.xlsx,18_19
2018-10-23,ENTRADA,rendimento automático,22.57,,18_19.xlsx,18_19
2018-10-24,ENTRADA,rendimento automático,1.34,,18_19.xlsx,18_19
2018-10-29,ENTRADA,projeto,891.43,Cliente 039,18_19.xlsx,18_19
2018-10-29,ENTRADA,projeto,2839.98,Cliente 001,18_19.xlsx,18_19
2018-10-29,ENTRADA,projeto,4668.0,Cliente 001,18_19.xlsx,18_19
2018-10-29,ENTRADA,projeto,1028.5,Cliente 003,18_19.xlsx,18_19
2018-10-31,ENTRADA,rendimento automático,2.59,,18_19.xlsx,18_19
2018-11-08,ENTRADA,rendimento automático,3.12,,18_19.xlsx,18_19
2018-11-09,ENTRADA,projeto,2446.6,Cliente 001,18_19.xlsx,18_19
2018-11-12,ENTRADA,projeto,50.0,Cliente 049,18_19.xlsx,18_19
2018-11-12,ENTRADA,projeto,1200.0,Cliente 049,18_19.xlsx,18_19
2018-11-12,ENTRADA,projeto,700.0,Cliente 066,18_19.xlsx,18_19
2018-11-16,ENTRADA,rendimento automático,6.25,,18_19.xlsx,18_19
2018-11-16,ENTRADA,capacitação,295.87,,18_19.xlsx,18_19
2018-11-19,ENTRADA,projeto,900.0,Cliente 038,18_19.xlsx,18_19
2018-11-28,ENTRADA,projeto,891.43,,18_19.xlsx,18_19
2018-12-04,ENTRADA,rendimento automático,17.28,,18_19.xlsx,18_19
2018-12-10,ENTRADA,projeto,550.0,Cliente 077,18_19.xlsx,18_19
2018-12-11,ENTRADA,projeto,1350.0,Cliente 045,18_19.xlsx,18_19
2018-12-11,ENTRADA,rendimento automático,9.64,,18_19.xlsx,18_19
2018-12-18,ENTRADA,projeto,3071.4,Cliente 001,18_19.xlsx,18_19
2018-12-18,ENTRADA,projeto,900.0,Cliente 062,18_19.xlsx,18_19
2018-12-19,ENTRADA,não categorizado,370.0,,18_19.xlsx,18_19
2018-12-20,ENTRADA,projeto,1439.9,Cliente 003,18_19.xlsx,18_19
2018-12-20,ENTRADA,projeto,500.0,Cliente 081,18_19.xlsx,18_19
2019-01-03,ENTRADA,rendimento automático,0.48,,18_19.xlsx,18_19
2019-01-14,ENTRADA,rendimento automático,26.08,,18_19.xlsx,18_19
2019-01-14,ENTRADA,rendimento automático,26.08,,18_19.xlsx,18_19
2019-01-18,ENTRADA,projeto,9471.49,Cliente 005,18_19.xlsx,18_19
2019-01-24,ENTRADA,evento mej,285.0,,18_19.xlsx,18_19
